name,female,male,year
Adugna,0,4,2016
Adul,0,3,2016
Adula,4,0,2016
Adulai,0,9,2016
Adunia,3,0,2016
Adurim,0,3,2016
Adva,3,0,2016
Advait,0,5,2016
Advaith,0,3,2016
Advan,0,23,2016
Advay,0,7,2016
Advie,15,0,2016
Advija,27,0,2016
Advije,105,0,2016
Advik,0,7,2016
Adviye,5,0,2016
Adwin,0,3,2016
Adwoa,11,0,2016
Ady,0,3,2016
Adya,3,0,2016
Adyam,20,0,2016
Adyan,0,11,2016
Adzer,7,0,2016
Adzere,9,0,2016
Adzi,0,4,2016
Adzije,4,0,2016
Adzo,5,0,2016
Adzovi,3,0,2016
Adám,0,5,2016
Adán,0,3,2016
Adão,0,64,2016
Adèle,438,0,2016
Adél,19,0,2016
Adéla,30,0,2016
Adélaide,14,0,2016
Adélaïde,65,0,2016
Adéle,3,0,2016
Adélia,87,0,2016
Adélie,70,0,2016
Adéline,9,0,2016
Adélio,0,25,2016
Adérito,0,68,2016
Adília,12,0,2016
Ae,8,0,2016
Aedan,0,18,2016
Aedo,0,3,2016
Aegidius,0,11,2016
Ael,0,7,2016
Aela,69,0,2016
Aelia,11,0,2016
Aelita,7,0,2016
Aemilia,4,0,2016
Aemilian,0,3,2016
Aena,3,0,2016
Aenea,5,7,2016
Aeneas,0,67,2016
Aenny,4,0,2016
Aerin,3,0,2016
Aesha,6,0,2016
Aeshah,3,0,2016
Afaaf,3,0,2016
Afaf,28,0,2016
Afan,0,14,2016
Afef,15,0,2016
Afeni,4,0,2016
Aferdit,4,0,2016
Aferdita,568,0,2016
Aferdite,24,0,2016
Aferditë,7,0,2016
Afet,3,41,2016
Afete,9,0,2016
Afewerki,0,27,2016
Afework,0,4,2016
Afeworki,0,3,2016
Affaf,5,0,2016
Affan,0,5,2016
Affi,3,0,2016
Affoue,9,0,2016
Affoué,13,0,2016
Afi,31,0,2016
Afia,18,0,2016
Afiavi,3,0,2016
Afid,0,3,2016
Afida,4,0,2016
Afiet,4,0,2016
Afif,0,17,2016
Afifa,16,0,2016
Afife,6,0,2016
Afije,48,0,2016
Afijet,6,0,2016
Afijeta,4,0,2016
Afijete,5,0,2016
Afina,4,0,2016
Afir,0,3,2016
Afis,0,3,2016
Afit,0,4,2016
Afiwa,10,0,2016
Afiya,3,0,2016
Afiz,0,14,2016
Afiza,7,0,2016
Afize,17,0,2016
Afmet,0,3,2016
Afnaan,4,0,2016
Afnan,16,0,2016
Afom,0,5,2016
Afomia,8,0,2016
Afonso,0,444,2016
Afra,116,0,2016
Afrah,37,0,2016
Afram,0,9,2016
Afrdita,144,0,2016
Afredita,3,0,2016
Africa,23,0,2016
Afrije,8,0,2016
Afrim,0,881,2016
Afrime,32,0,2016
Afrin,3,0,2016
Afrodita,56,0,2016
Afrodite,6,0,2016
Afroditi,37,0,2016
Afron,0,7,2016
Afrona,8,0,2016
Afrora,9,0,2016
Afrore,16,0,2016
Afroza,8,0,2016
Afsana,3,0,2016
Afsaneh,25,0,2016
Afsar,3,0,2016
Afshan,14,0,2016
Afsheen,4,0,2016
Afshin,0,23,2016
Aftab,0,9,2016
Afua,7,0,2016
Afz,0,3,2016
Afzal,0,14,2016
Aférdita,3,0,2016
Afërdita,210,0,2016
Afërditë,3,0,2016
Aga,3,10,2016
Agaash,0,3,2016
Agaliya,3,0,2016
Agalya,5,0,2016
Agan,0,89,2016
Agape,4,0,2016
Agapi,12,0,2016
Agapios,0,4,2016
Agapita,3,0,2016
Agapito,0,6,2016
Agar,4,0,2016
Agarshan,0,3,2016
Agash,0,19,2016
Agastya,0,7,2016
Agata,618,0,2016
Agate,6,0,2016
Agath,3,0,2016
Agatha,1208,0,2016
Agathe,683,0,2016
Agathi,3,0,2016
Agatina,59,0,2016
Agatino,0,55,2016
Agavni,7,0,2016
Agazio,0,21,2016
Agda,5,0,2016
Age,47,0,2016
